Evaluation Results
==================================================
Model: best_model_epoch78.pth
Test File: 2024-07-07_2024-07-07_17-15-00
Evaluation Date: 2025-07-10 16:53:18

System Information:
--------------------
os: Windows
os_version: 10.0.26100
architecture: 64bit
machine: AMD64
processor: Intel64 Family 6 Model 170 Stepping 4, GenuineIntel
gpu: NVIDIA GeForce RTX 4090 Laptop GPU (CUDA 12.6)
gpu_name: NVIDIA GeForce RTX 4090 Laptop GPU
python_version: 3.13.1
cpu_count: 22
cpu_count_logical: 22
memory_total_gb: 31.52
memory_available_gb: 17.39
memory_percent: 44.8
cuda_available: True
cuda_device_count: 1
cuda_version: 12.6
current_device: cuda

Performance Timing:
--------------------
Data loading time: 0.180 seconds
Model loading time: 0.268 seconds
Total inference time: 91.756 seconds
Average inference time per frame: 0.0261 seconds
Min inference time: 0.0169 seconds
Max inference time: 0.1031 seconds
Total evaluation time: 98.396 seconds
Frames processed: 3520

Frame-by-Frame Results:
------------------------------
Frame 0: ADE=73.27, FDE=205.35, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.1031s
Frame 1: ADE=98.37, FDE=276.32, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0368s
Frame 2: ADE=114.68, FDE=290.48, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0400s
Frame 3: ADE=129.25, FDE=190.67, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0441s
Frame 4: ADE=149.84, FDE=292.10, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0415s
Frame 5: ADE=185.42, FDE=286.69, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0429s
Frame 6: ADE=189.44, FDE=281.38, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0441s
Frame 7: ADE=156.91, FDE=225.97, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0433s
Frame 8: ADE=134.99, FDE=173.69, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0443s
Frame 9: ADE=104.29, FDE=104.29, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0395s
Frame 10: ADE=9.29, FDE=6.42, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0423s
Frame 11: ADE=10.91, FDE=16.47, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0458s
Frame 12: ADE=25.05, FDE=24.12, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0395s
Frame 13: ADE=8.27, FDE=10.61, Acc_2px=0.000, Acc_5px=0.000, Inference time: 0.0406s
